n_variables,trial,method,time
50,0,highs-ipm,0.002985153000000018
50,0,highs-ds,0.0013779449999997695
50,1,highs-ipm,0.002936017000000124
50,1,highs-ds,0.0013641249999998273
50,2,highs-ipm,0.0029477369999999503
50,2,highs-ds,0.001367727999999957
50,3,highs-ipm,0.0029842640000001808
50,3,highs-ds,0.0014427969999997181
50,4,highs-ipm,0.0033211220000000097
50,4,highs-ds,0.00205572399999987
50,5,highs-ipm,0.003091383000000114
50,5,highs-ds,0.0014116709999996147
50,6,highs-ipm,0.003044464999999885
50,6,highs-ds,0.0014601390000001935
50,7,highs-ipm,0.0029452739999999977
50,7,highs-ds,0.0013840649999998789
50,8,highs-ipm,0.002937925000000341
50,8,highs-ds,0.001376259999999796
50,9,highs-ipm,0.002927589999999647
50,9,highs-ds,0.0014324430000001165
100,0,highs-ipm,0.017589934000000085
100,0,highs-ds,0.006765582999999964
100,1,highs-ipm,0.017734651000000046
100,1,highs-ds,0.006480073000000086
100,2,highs-ipm,0.0168635509999997
100,2,highs-ds,0.006157294000000313
100,3,highs-ipm,0.01671288599999965
100,3,highs-ds,0.006160779000000005
100,4,highs-ipm,0.016913070999999835
100,4,highs-ds,0.006169149999999846
100,5,highs-ipm,0.016462124999999883
100,5,highs-ds,0.006058000000000341
100,6,highs-ipm,0.016392440999999813
100,6,highs-ds,0.0060564050000002645
100,7,highs-ipm,0.01656361900000025
100,7,highs-ds,0.006077964000000158
100,8,highs-ipm,0.016830452999999856
100,8,highs-ds,0.006410745999999801
100,9,highs-ipm,0.016535270999999963
100,9,highs-ds,0.006086866000000413
150,0,highs-ipm,0.034666026000000016
150,0,highs-ds,0.022199062999999963
150,1,highs-ipm,0.03459559799999967
150,1,highs-ds,0.022191068000000147
150,2,highs-ipm,0.0347643350000002
150,2,highs-ds,0.022250033999999808
150,3,highs-ipm,0.034548476999999966
150,3,highs-ds,0.022107620999999966
150,4,highs-ipm,0.03462775399999973
150,4,highs-ds,0.02216672399999986
150,5,highs-ipm,0.03461207200000027
150,5,highs-ds,0.022221292999999864
150,6,highs-ipm,0.03471451400000003
150,6,highs-ds,0.022399007000000193
150,7,highs-ipm,0.03495625999999996
150,7,highs-ds,0.022220434999999927
150,8,highs-ipm,0.034537129999999916
150,8,highs-ds,0.022221231000000063
150,9,highs-ipm,0.034622123000000116
150,9,highs-ds,0.02271560699999986
200,0,highs-ipm,0.06758231399999914
200,0,highs-ds,0.054532798000000327
200,1,highs-ipm,0.06720879399999902
200,1,highs-ds,0.05456157499999925
200,2,highs-ipm,0.06716573599999975
200,2,highs-ds,0.054549187999999305
200,3,highs-ipm,0.06730803800000018
200,3,highs-ds,0.0547536149999992
200,4,highs-ipm,0.0672115980000001
200,4,highs-ds,0.05463754700000045
200,5,highs-ipm,0.0672987960000011
200,5,highs-ds,0.05457777999999891
200,6,highs-ipm,0.06913625999999873
200,6,highs-ds,0.05493460200000122
200,7,highs-ipm,0.06723213599999944
200,7,highs-ds,0.05462819599999946
200,8,highs-ipm,0.0670971259999984
200,8,highs-ds,0.05448654099999928
200,9,highs-ipm,0.06740308300000031
200,9,highs-ds,0.05471513800000061
250,0,highs-ipm,0.1502330969999992
250,0,highs-ds,0.10442332799999932
250,1,highs-ipm,0.14981441000000117
250,1,highs-ds,0.10396874199999928
250,2,highs-ipm,0.15027425399999927
250,2,highs-ds,0.10409166400000025
250,3,highs-ipm,0.15034363299999853
250,3,highs-ds,0.1047543779999991
250,4,highs-ipm,0.1500095100000003
250,4,highs-ds,0.10371828399999927
250,5,highs-ipm,0.1512699289999997
250,5,highs-ds,0.10683269599999967
250,6,highs-ipm,0.1509539679999996
250,6,highs-ds,0.10389984000000041
250,7,highs-ipm,0.15006404899999914
250,7,highs-ds,0.10402013200000049
250,8,highs-ipm,0.1506444380000005
250,8,highs-ds,0.10436497699999947
250,9,highs-ipm,0.15047083299999997
250,9,highs-ds,0.10357096899999974
300,0,highs-ipm,0.19277415199999837
300,0,highs-ds,0.18688531200000114
300,1,highs-ipm,0.19285663099999795
300,1,highs-ds,0.18669746699999834
300,2,highs-ipm,0.19234117899999958
300,2,highs-ds,0.18649886000000038
300,3,highs-ipm,0.19188819299999693
300,3,highs-ds,0.18675684300000128
300,4,highs-ipm,0.19282001400000226
300,4,highs-ds,0.18750630499999943
300,5,highs-ipm,0.19332755200000307
300,5,highs-ds,0.18751348600000028
300,6,highs-ipm,0.1927027619999997
300,6,highs-ds,0.18733958400000006
300,7,highs-ipm,0.19215615199999903
300,7,highs-ds,0.18707029899999839
300,8,highs-ipm,0.19222323500000016
300,8,highs-ds,0.1879047899999975
300,9,highs-ipm,0.19316341700000095
300,9,highs-ds,0.1868323899999993
350,0,highs-ipm,0.3045801040000029
350,0,highs-ds,0.3092345829999985
350,1,highs-ipm,0.3057315040000006
350,1,highs-ds,0.30686901800000044
350,2,highs-ipm,0.3064660779999997
350,2,highs-ds,0.30737653799999975
350,3,highs-ipm,0.30545739400000116
350,3,highs-ds,0.30918205500000795
350,4,highs-ipm,0.3054984670000067
350,4,highs-ds,0.3069503400000002
350,5,highs-ipm,0.3069966990000097
350,5,highs-ds,0.3082720019999954
350,6,highs-ipm,0.3057831090000036
350,6,highs-ds,0.3076936559999979
350,7,highs-ipm,0.30623188799999923
350,7,highs-ds,0.3076869309999921
350,8,highs-ipm,0.3043677349999996
350,8,highs-ds,0.30713049499999556
350,9,highs-ipm,0.3072504360000039
350,9,highs-ds,0.3076188670000022
400,0,highs-ipm,0.39392982799999743
400,0,highs-ds,0.4360708060000036
400,1,highs-ipm,0.3942892150000006
400,1,highs-ds,0.43825660900000685
400,2,highs-ipm,0.39322478300000796
400,2,highs-ds,0.4354023789999957
400,3,highs-ipm,0.39369980200000043
400,3,highs-ds,0.437355249999996
400,4,highs-ipm,0.39481586300000515
400,4,highs-ds,0.4367726600000026
400,5,highs-ipm,0.3933245479999954
400,5,highs-ds,0.43833314299999415
400,6,highs-ipm,0.3929187119999966
400,6,highs-ds,0.4384917870000038
400,7,highs-ipm,0.3946766200000127
400,7,highs-ds,0.4370049669999929
400,8,highs-ipm,0.39369602300000395
400,8,highs-ds,0.4355314980000031
400,9,highs-ipm,0.39397569499999463
400,9,highs-ds,0.4372440570000009
450,0,highs-ipm,0.6352066090000079
450,0,highs-ds,0.6772916379999998
450,1,highs-ipm,0.6347039409999979
450,1,highs-ds,0.6763099820000065
450,2,highs-ipm,0.6331106549999959
450,2,highs-ds,0.6762494820000029
450,3,highs-ipm,0.6341247950000195
450,3,highs-ds,0.6915765820000104
450,4,highs-ipm,0.6372856790000014
450,4,highs-ds,0.675656532000005
450,5,highs-ipm,0.6338919799999871
450,5,highs-ds,0.6784085189999871
450,6,highs-ipm,0.6340079690000096
450,6,highs-ds,0.679182615000002
450,7,highs-ipm,0.6336940590000211
450,7,highs-ds,0.675882941999987
450,8,highs-ipm,0.633296625000014
450,8,highs-ds,0.6794476659999873
450,9,highs-ipm,0.6329041330000109
450,9,highs-ds,0.6748569320000115
500,0,highs-ipm,0.7671879869999998
500,0,highs-ds,1.035659723000009
500,1,highs-ipm,0.7669419169999969
500,1,highs-ds,1.034535453000018
500,2,highs-ipm,0.7664981130000115
500,2,highs-ds,1.0337504050000064
500,3,highs-ipm,0.7689162910000107
500,3,highs-ds,1.0319157179999934
500,4,highs-ipm,0.7685427069999946
500,4,highs-ds,1.0368440869999915
500,5,highs-ipm,0.767765833999988
500,5,highs-ds,1.030901827000008
500,6,highs-ipm,0.7668906190000087
500,6,highs-ds,1.033152279999996
500,7,highs-ipm,0.7664695450000067
500,7,highs-ds,1.0369134350000024
500,8,highs-ipm,0.7667823459999852
500,8,highs-ds,1.031376922999982
